Model;Quant;Context;Perplexity;Size_GB
13B;q3_k;256;5.1690 +/- 0.40510;5.902539998292923
13B;q4_k;256;5.1165 +/- 0.40442;7.325774937868118
13B;q5_k;256;5.0548 +/- 0.39835;8.596069127321243
13B;q8_0;256;5.0788 +/- 0.40222;12.881452351808548
13B;f16;256;5.0728 +/- 0.40156;24.245435506105423

7B;q3_k;256;5.5530 +/- 0.43855;3.0715385377407074
7B;q4_k;256;5.4953 +/- 0.43581;3.8007636964321136
7B;q5_k;256;5.4649 +/- 0.43397;4.454694360494614
7B;q8_0;256;5.4573 +/- 0.43232;6.669316858053207
7B;f16;256;5.4651 +/- 0.43356;12.552495568990707

3B;q3_k;256;5.7587 +/- 0.47326;1.9924444556236267
3B;q4_k;256;5.7352 +/- 0.46775;2.402941644191742
3B;q5_k;256;5.7472 +/- 0.47020;2.567748486995697
3B;q8_0;256;5.7250 +/- 0.46798;3.3917827010154724
3B;f16;256;5.7237 +/- 0.46791;6.383339822292328
